"Model","Parameter","Type","N","ARE"
"F-diffusion","alpha","Numeric",30000,0.0319643763703238
"F-diffusion","alpha","Numeric",150,0.671319397178231
"F-diffusion","alpha","Numeric",1500,0.395986440646944
"F-diffusion","alpha","Numeric",4500,0.142030747916169
"F-diffusion","alpha","Numeric",15000,0.0781661376029302
"F-diffusion","alpha","Numeric",30000,0.165810484256302
"F-diffusion","alpha","Numeric",150,0.38333417064613
"F-diffusion","alpha","Numeric",1500,0.19610835231355
"F-diffusion","alpha","Numeric",4500,0.163833945489445
"F-diffusion","alpha","Numeric",15000,0.0083086704643165
"F-diffusion","alpha","Numeric",30000,0.0859770003723118
"F-diffusion","alpha","Numeric",150,0.206736900588297
"F-diffusion","alpha","Numeric",1500,0.0701822906271632
"F-diffusion","alpha","Numeric",4500,0.0477167431629787
"F-diffusion","alpha","Numeric",15000,0.106307741086939
"F-diffusion","alpha","Numeric",30000,0.121044053302315
"F-diffusion","alpha","Numeric",150,0.596105555779549
"F-diffusion","alpha","Numeric",1500,0.0509001866123836
"F-diffusion","alpha","Numeric",4500,0.242247020390016
"F-diffusion","alpha","Numeric",15000,0.0924913365153177
"F-diffusion","alpha","Numeric",30000,0.0469543858501934
"F-diffusion","alpha","Numeric",150,0.0450507937426124
"F-diffusion","alpha","Numeric",1500,0.417703202024944
"F-diffusion","alpha","Numeric",4500,0.113769331305534
"F-diffusion","alpha","Numeric",15000,0.173447572354289
"F-diffusion","alpha","Numeric",30000,0.119272224194311
"F-diffusion","alpha","Numeric",150,0.0473637877601675
"F-diffusion","alpha","Numeric",1500,0.239349995738165
"F-diffusion","alpha","Numeric",4500,0.367110068488065
"F-diffusion","alpha","Numeric",15000,0.144976109512544
"F-diffusion","alpha","Numeric",30000,0.118302486244046
"F-diffusion","alpha","Numeric",150,0.842486796209557
"F-diffusion","alpha","Numeric",1500,0.150216485241205
"F-diffusion","alpha","Numeric",4500,0.461869990488827
"F-diffusion","alpha","Numeric",15000,0.162607764616606
"F-diffusion","alpha","Numeric",30000,0.0890492125856013
"F-diffusion","alpha","Numeric",150,0.203201807679797
"F-diffusion","alpha","Numeric",1500,0.212355902067469
"F-diffusion","alpha","Numeric",4500,0.0669723347302067
"F-diffusion","alpha","Numeric",15000,0.0309526323238042
"F-diffusion","alpha","Numeric",30000,0.137763873464193
"F-diffusion","alpha","Numeric",150,0.555325115358176
"F-diffusion","alpha","Numeric",1500,0.09623512092685
"F-diffusion","alpha","Numeric",4500,0.743842149218239
"F-diffusion","alpha","Numeric",15000,0.21236488339588
"F-diffusion","alpha","Numeric",30000,0.0066173309025903
"F-diffusion","alpha","Numeric",150,0.713985119897031
"F-diffusion","alpha","Numeric",1500,0.288578315695716
"F-diffusion","alpha","Numeric",4500,0.688946177554943
"F-diffusion","alpha","Numeric",15000,0.21146720308001
"F-diffusion","alpha","Numeric",30000,0.0183387333838594
"F-diffusion","mu","Closed",150,0.00948169235535521
"F-diffusion","mu","Closed",1500,0.00131214144781948
"F-diffusion","mu","Closed",4500,0.0130110211394562
"F-diffusion","mu","Closed",15000,0.0529905906048741
